0,"[25, 73, 42, 79, 3, 18, 40, 53, 38, 9, 10, 68, 32, 72, 75, 28, 11, 0, 46, 56, 29, 57, 44, 30, 77, 60, 21, 8, 4, 24, 26, 78, 13, 31, 71, 47, 36, 67, 37, 76]","[31, 4, 3, 18, 37, 56, 24, 20, 1, 47, 32, 74, 71, 53, 0, 30, 73, 61, 63, 79, 23, 78, 22, 28, 70, 44, 13, 54, 14, 15, 48, 6, 17, 69, 2, 51, 57, 27, 29, 25]","[0, 3, 4, 13, 18, 24, 25, 28, 29, 30, 31, 32, 37, 44, 47, 53, 56, 57, 71, 73, 78, 79]"
1,"[27, 62, 39, 45, 35, 44, 14, 72, 64, 17, 48, 58, 57, 54, 52, 68, 24, 2, 55, 31, 9, 16, 61, 26, 3, 25, 74, 47, 19, 40, 12, 75, 0, 5, 38, 60, 8, 67, 42, 21]","[26, 53, 49, 66, 77, 44, 11, 63, 4, 17, 68, 38, 48, 2, 10, 36, 71, 34, 61, 57, 67, 43, 16, 47, 50, 27, 25, 46, 13, 28, 24, 18, 22, 58, 31, 6, 0, 79, 12, 76]","[0, 2, 12, 16, 17, 24, 25, 26, 27, 31, 38, 44, 47, 48, 57, 58, 61, 67, 68]"
2,"[44, 57, 33, 65, 46, 25, 64, 22, 17, 73, 24, 61, 56, 15, 75, 18, 51, 9, 58, 12, 41, 14, 59, 40, 52, 8, 3, 11, 31, 28, 21, 50, 55, 66, 71, 36, 70, 79, 13, 1]","[18, 70, 4, 38, 46, 21, 79, 78, 42, 77, 19, 76, 24, 50, 73, 31, 48, 7, 62, 25, 41, 30, 68, 27, 28, 10, 34, 51, 17, 26, 37, 64, 20, 45, 55, 29, 67, 6, 49, 52]","[17, 18, 21, 24, 25, 28, 31, 41, 46, 50, 51, 52, 55, 64, 70, 73, 79]"
3,"[11, 35, 3, 17, 2, 19, 50, 54, 31, 69, 9, 76, 16, 6, 64, 66, 75, 34, 37, 53, 15, 45, 13, 77, 71, 24, 30, 20, 46, 58, 4, 40, 26, 33, 67, 48, 27, 0, 29, 52]","[79, 11, 41, 66, 54, 43, 75, 22, 64, 78, 70, 18, 46, 59, 32, 26, 7, 9, 40, 62, 63, 3, 0, 76, 69, 55, 2, 42, 60, 67, 24, 30, 47, 8, 10, 74, 53, 51, 12, 20]","[0, 2, 3, 9, 11, 20, 24, 26, 30, 40, 46, 53, 54, 64, 66, 67, 69, 75, 76]"
4,"[34, 9, 69, 12, 4, 71, 14, 43, 21, 67, 61, 68, 33, 64, 50, 37, 44, 3, 48, 57, 31, 27, 59, 62, 42, 74, 76, 52, 53, 72, 35, 32, 56, 29, 24, 79, 28, 8, 23, 54]","[26, 30, 29, 23, 25, 58, 13, 28, 77, 37, 60, 61, 33, 44, 76, 52, 59, 14, 1, 46, 16, 8, 20, 66, 47, 31, 55, 21, 17, 27, 54, 51, 34, 2, 9, 79, 48, 6, 3, 74]","[3, 8, 9, 14, 21, 23, 27, 28, 29, 31, 33, 34, 37, 44, 48, 52, 54, 59, 61, 74, 76, 79]"
5,"[6, 77, 72, 57, 54, 51, 11, 33, 75, 19, 47, 53, 18, 52, 65, 73, 0, 61, 31, 35, 76, 56, 38, 34, 20, 30, 26, 39, 64, 40, 41, 21, 29, 59, 42, 66, 3, 49, 22, 48]","[42, 28, 37, 7, 58, 74, 62, 3, 39, 13, 61, 54, 50, 4, 45, 46, 21, 14, 19, 60, 30, 57, 48, 12, 79, 23, 63, 5, 53, 16, 15, 1, 40, 75, 71, 9, 49, 65, 32, 24]","[3, 19, 21, 30, 39, 40, 42, 48, 49, 53, 54, 57, 61, 65, 75]"
6,"[22, 17, 24, 34, 5, 7, 60, 19, 49, 52, 46, 32, 62, 61, 54, 40, 29, 73, 6, 4, 57, 20, 38, 72, 56, 67, 55, 8, 53, 27, 36, 37, 30, 3, 15, 71, 11, 69, 64, 44]","[78, 60, 74, 30, 37, 47, 5, 56, 38, 4, 48, 58, 21, 67, 17, 75, 51, 27, 53, 57, 32, 3, 55, 1, 73, 52, 45, 16, 22, 68, 36, 54, 41, 26, 20, 49, 12, 61, 29, 39]","[3, 4, 5, 17, 20, 22, 27, 29, 30, 32, 36, 37, 38, 49, 52, 53, 54, 55, 56, 57, 60, 61, 67, 73]"
7,"[14, 44, 28, 67, 75, 79, 35, 64, 76, 17, 20, 73, 54, 33, 59, 49, 36, 40, 55, 27, 18, 77, 41, 10, 68, 43, 72, 63, 57, 15, 71, 21, 29, 23, 2, 0, 53, 52, 78, 22]","[30, 71, 72, 34, 6, 9, 32, 29, 75, 37, 69, 61, 74, 36, 78, 39, 56, 55, 40, 1, 23, 10, 8, 33, 15, 43, 64, 20, 60, 11, 14, 48, 77, 70, 62, 21, 3, 65, 2, 27]","[2, 10, 14, 15, 20, 21, 23, 27, 29, 33, 36, 40, 43, 55, 64, 71, 72, 75, 77, 78]"
8,"[26, 60, 56, 79, 45, 32, 43, 70, 40, 1, 10, 49, 23, 63, 69, 58, 24, 15, 47, 53, 78, 13, 19, 28, 52, 18, 41, 8, 77, 61, 66, 20, 16, 27, 73, 35, 67, 9, 46, 75]","[39, 27, 76, 79, 23, 0, 17, 13, 18, 50, 48, 65, 8, 11, 78, 26, 43, 5, 46, 6, 67, 57, 64, 72, 70, 54, 33, 40, 32, 4, 69, 56, 37, 24, 21, 16, 38, 15, 22, 59]","[8, 13, 15, 16, 18, 23, 24, 26, 27, 32, 40, 43, 46, 56, 67, 69, 70, 78, 79]"
9,"[40, 41, 0, 46, 34, 24, 26, 43, 3, 9, 63, 38, 65, 39, 36, 17, 21, 1, 61, 27, 37, 4, 5, 59, 51, 77, 11, 67, 50, 58, 66, 56, 44, 20, 64, 68, 52, 71, 22, 70]","[72, 3, 50, 48, 36, 22, 4, 21, 2, 69, 74, 63, 6, 75, 19, 25, 60, 57, 51, 73, 37, 32, 70, 29, 11, 16, 30, 77, 46, 61, 62, 78, 76, 45, 18, 1, 27, 67, 20, 12]","[1, 3, 4, 11, 20, 21, 22, 27, 36, 37, 46, 50, 51, 61, 63, 67, 70, 77]"
10,"[11, 17, 58, 23, 76, 32, 10, 18, 42, 2, 38, 43, 74, 1, 12, 40, 6, 36, 75, 15, 49, 59, 24, 7, 61, 60, 13, 70, 28, 69, 31, 35, 0, 34, 56, 5, 4, 72, 8, 73]","[22, 29, 69, 38, 34, 37, 33, 66, 27, 21, 73, 44, 36, 26, 67, 57, 6, 40, 55, 70, 72, 52, 8, 76, 25, 39, 30, 17, 78, 31, 9, 19, 45, 43, 15, 48, 11, 46, 20, 47]","[6, 8, 11, 15, 17, 31, 34, 36, 38, 40, 43, 69, 70, 72, 73, 76]"
