0,3*18*85+21*75-71*17*23*78-37,425
1,90+79+75-28*35*86+41+39-98-41,522
2,35*3*3+27*48-96-38+2+58+78,353
3,89+79-63-27+53+31-91*75*77*68,564
4,92-69-54+42-58+85+90*29-4-74,505
5,63+56-59-3-89-96-24-99+87+78,591
6,32*40+35*21+59-36*86-20+55*82,434
7,15+13+96+84*5-41*88+58*5+1,391
8,11-88-43*18-28-39-76+2*6*64,364
9,5-79+85-26*6+19+97*15-27-84,438
10,36*86+15-81+19+97+84+43-75+9,509
11,92+56-9-24+8*91-90*58-30-74,440
12,53*32+52+6*10+46-51-10-8-46,261
13,82+73+32+16*39-96-55-75*52+63,501
14,10+63*8+67*13-68+29-83-51-27,409
15,78-80+42+41+5+53*12+61*32*66,392
16,59-28+95+83*11+62-55*64+35+75,508
17,52*20-64-99-87-77-10-14+44+48,463
18,9+45-0+65*1-63*75+71*3+67,390
19,3*31*85*96*20-93*13-18-23+56,435
20,56+5-9-59*76*64-42+75+55*7,392
21,60+40+40*17+27+93+58*84-48*9,416
22,6*87-35-17-69+41+80-27-95+88,539
23,5*58+10-65+88+52+33-50*76-39,471
24,34*65*23+47*52-7-77*73+5+43,392
25,90*31+11-29*72-26*67-73+86-37,432
26,66-60*83-26-57+38-37-81-13*30,425
27,57-55*26+94+27-28-98+79+45-17,469
28,67*1+38*24*26*33-66+34-11+82,315
29,97-59+89*59-98+34*73+62*80-40,594
30,74+71+0+71*95-3*17*37*99*55,448
31,81-95*34+7*0+69+10-55-83-86,439
32,41-40*36*97+52-40+70*54-7-24,420
33,2*87+23*66*86-10*64-88-58-69,551
34,42-74*52+13-3*18+29-15-30-20,254
35,78-51+84+16-39-58*79*34+6+29,396
36,45-98-90*50+69+25-85-99-77+7,600
37,27-67*4-37+75*57+32*16+49+53,390
38,58+13*16-39-78+80*65*42*68+59,460
39,68*84*50+40-93*16*65-82*22+46,498
40,53*98*63-29+76+77*93*14-66*90,606
41,27+61*52*57-18*28*22*98*45*48,429
42,36+1+7+55-61+20+51+32-9-69,305
43,45+16-65-61-5*77*2-94+52*3,375
44,62*40-93+65+99-48+26-44*92+20,527
45,72*66+37*55-34+32-42-65+93-55,479
46,27+39-54*94-2+69-57-72*34-48,469
47,64+62*32-49-92*96-80-59+47*4,521
48,46+2*68+3+66*31+38-2-32*64,306
49,73*26-51-97-91*50-97-47+51-9,519
50,31*79+48+44+8-16-24*82-82+20,403
51,14*58+84*61*89+49*9-91-15+25,481
52,38*31-64-7+17+0-14-63+80-6,282
53,96*13+54+4+80-36-67*8*22+21,305
54,15-35-13+49-69*21+24-42*3*63,319
55,84*68*91-57+60*18*86*90-40*4,514
56,73-72-5+29+21*84-73-3-21+8,316
57,45-51+52+4+88+87+79-4+58*73,496
58,10*21+46+4-62+4*47+80+69+48,381
59,39*30+2+97+8*95*1+67-27*9,336
60,59+64-89*97+1*83-18*16-26+24,418
61,46-49-24+66*59+8-67+47-60+11,391
62,23+64+11*58-87-93*65-67-64*77,586
63,71*70-69*93*63*69-63*29+54+5,515
64,3+68-58-53+29-9*99+19*47-0,382
65,30-36*80*73-74*26-17+30*59+44,439
66,97-27*50+5+71*97+61*30-59+25,425
67,2+24-65+28-5*29+45+56-58*82,392
68,18-89*56*5*17+99*70+54-63-48,501
69,45*99+30+43-64-12*78+48*28*4,406
70,22*91-55*70-90*55+23+27*0-23,434
71,80+21-22+15*24*4*82*66*23+87,344
72,90*83+76-10-65-20+89+92-70*11,516
73,60+15-69*12-81+32-98+63*47*30,447
74,67+49*86+26*29-69*88+65-45-38,495
75,82-22-11+37-24-35-46-34*36-90,335
76,37+30*78*95*28*25-73-14*80+52,475
77,33-76*98-28*88+83*75+38-45-84,615
78,47-0*42+83-91*27+81*65*82-35,506
79,28-3+10-41-61*86+36*2+64+28,331
80,38-96+36+24+28-55+0*0*57*81,377
81,57-21*22+40*46+40+37-30*4*13,253
82,91-91+59*67+48*11-27-98+49-94,544
83,27*58+79*66*26-91+20+51+64+4,459
84,44-37-79-25+25+71-97+4*56+20,414
85,17-72+91+91+45-56*27-61*8*22,473
86,11*68-97-9-88-13*6-12+51-19,363
87,27*62-97+5*29+51+57*43+49-40,433
88,35-56-47-52-68*5+65+26-92+85,496
89,89*95-1-83-69-90-88+92*60-15,593
90,67+65-45+82-86*19+23*99-28-11,458
91,40*56*92*24*79+80+12*97*71-23,534
92,29-38-19*79-8*86+1*5+72+35,343
93,55*65*60-56*36*33-57+0*94+51,452
94,69+59*70+75-73-82+86+84+98+28,655
95,88*22-3+21*7*79*67+23*17+33,272
96,48+97+40-14*97*46-0*56+60*19,429
97,97*53*12+20*47*24+81*28-16+19,300
98,78*74*41+93-35+27*36*62*7*49,424
99,40+9*41*57-94-71-13*92-77*96,550
